Fecha,Cuenta Corriente,PBI ,Ratio adul-joven,TI Trimestral,Tasa hipotecaria Trimestral,CaptBurs Trimestral,INB,Precio_por_m2
1999-07-01,-3.02684245202106,55517.781013156,0.01462848536683074,53.0333157754152,19.8603651208427,41022.88333333333,8201.570171775486,2700.096447992011
1999-10-01,-2.0239173249617,53196.0898080476,0.01543474224462783,56.63334964736083,19.575254961079832,42421.31666666667,8219.987636342867,2789.810330797877
2000-01-01,-3.53570140508718,56448.2361722295,0.01630276596071556,56.95410631789866,19.233122769364368,45786.40666666667,8226.53603125519,2584.158431137768
2000-04-01,-3.0608236342529,54674.8223764209,0.01722211654950383,55.527642823848204,18.89099057764893,48329.45333333333,8221.33467591751,2617.791826118631
2000-07-01,-3.88616066697267,58255.5507054466,0.01820189701907294,55.15139906831923,18.548858385933467,44263.416666666664,8204.518565868973,2521.646357981213
2000-10-01,-0.94928271193951,54621.7511351728,0.01918143221864,54.6471261482829,18.206726194217964,40338.416666666664,8196.80477491894,2515.775072419262
2001-01-01,-4.32043582914731,54654.5831316539,0.0200746562969627,53.7183542250822,17.8645940025025,36894.44666666666,8220.337353308532,2246.204787949103
2001-04-01,-4.63828967389323,51760.3669761745,0.02086493697275058,54.75423811031306,16.46257474316233,37951.89333333333,8273.595668073944,2496.909803459182
2001-07-01,-2.24194586138841,58431.0640912253,0.02158000902665974,54.8764667852007,17.3615040012233,38350.84333333333,8357.85104113791,2248.849920343503
2001-10-01,-1.40733914082658,56119.6473108455,0.02221008256791915,54.46806685288737,16.70686522637637,37341.12,8451.482769286296,2334.209245127216
2002-01-01,-1.34374635657741,57268.497372373,0.02273935843289721,56.355572607535294,16.256937638686235,36829.676666666666,8529.59973063707,2246.167657421486
2002-04-01,-2.60874410525181,55137.7411989528,0.02315959182501824,58.380875339756436,15.870860884913833,40010.57666666667,8590.999965406125,2266.001046696789
2002-07-01,-2.01744547021876,62307.2267834046,0.02348641613194951,59.20892174536616,15.166940467051,40483.496666666666,8637.980456948597,2615.175967313709
2002-10-01,-1.38919607476773,58404.3544652876,0.02372694202234281,58.61203110344119,16.901777531454,41820.40666666667,8677.366108206834,2271.442773279948
2003-01-01,-2.09478877417237,59923.6246813338,0.02388808190324498,59.90123484744934,16.806131282133368,43232.64666666667,8716.369499863924,1916.324762858668
2003-04-01,-3.57147733980039,58249.270140964,0.02396890540391443,57.50345588619657,16.749751810580133,46969.59333333333,8754.157054058833,2066.39198300081
2003-07-01,-1.02183105312067,65202.488111194,0.02397338686336252,58.572122427263594,17.354702170982566,52054.39666666667,8791.99448822545,1951.816633923971
2003-10-01,-1.18073326483818,60551.6834730799,0.02388636023861786,61.275439816165466,17.186666666666667,49487.55333333334,8838.031735202609,1993.302277124972
2004-01-01,-0.73608271785349,61589.1720277519,0.02369390006106697,64.8147251155902,16.16333333333333,53508.65666666667,8900.55651233116,2186.189970436902
2004-04-01,-0.427387612478274,60913.815574515,0.02339980767941254,70.54793011575964,15.576666666666668,63820.11666666666,8978.623563888637,2200.165663529867
2004-07-01,-0.95780304473318,67639.7128672909,0.02300255793390541,68.2130599097389,15.403333333333334,63620.17333333333,9072.823862801502,2107.239747386058
2004-10-01,1.39309712196894,63145.7528506701,0.02259961308956906,67.89210112248846,14.953333333333333,60638.486666666664,9173.27787578505,1965.416745901088
2005-01-01,0.382873433050676,66070.5049405968,0.02230286323208786,68.52912358115775,13.866666666666667,65299.193333333336,9267.365595349536,2120.420419991586
2005-04-01,0.904830046276757,64340.8894127658,0.02211533375653629,70.50854849361967,12.593333333333334,71676.17666666668,9353.2464219278,1892.874510916435
2005-07-01,0.600384612312584,71310.3676198867,0.02202906085876146,72.65902872288487,11.573333333333332,70480.84333333334,9433.885741535432,1882.250824105551
2005-10-01,2.11437611309898,67229.8261868521,0.02203456560711431,72.10786331300353,10.78,106684.66666666667,9526.129980609552,2046.523419878351
2006-01-01,2.61735482057101,71090.0706672864,0.02211960959808223,79.68103199612433,10.46,121882.38666666667,9647.245387213905,2024.72238431858
2006-04-01,-0.891393711477025,69670.7640688162,0.02227976574267401,86.32768511273629,10.299999999999999,127743.47666666667,9793.66892149534,1938.232799280603
2006-07-01,2.13243557776404,75823.9354937986,0.02251908989677542,97.96040514694498,10.18,149482.74,9969.815683408262,1773.412795362772
2006-10-01,6.09163204035551,72806.2690644193,0.02274118403125065,98.32513126540623,10.01618,163086.12333333332,10176.442812082796,1885.785765944153
2007-01-01,5.4100819996202,76296.8621833945,0.02283829878000732,99.61923627762583,9.866596666666666,185517.53,10411.585733863052,1815.214051042114
2007-04-01,0.0559883282122236,73353.8223477219,0.0228123425288059,101.86438647853527,9.816836666666667,228478.0,10669.209475104908,1911.804797056221
2007-07-01,1.13287700873424,80625.6306874366,0.02266446606610249,104.42141258041367,9.805682759332287,299186.4166666667,10957.44161681461,1943.883440358567
2007-10-01,1.75926678087682,80689.0812532602,0.0224077973718702,97.88929763537409,9.746728333333335,332483.1166666667,11220.155662571931,1908.751435573483
2008-01-01,2.71274108978703,85024.4647115814,0.02206158444421225,95.08342749035656,9.756139139622116,332475.18333333335,11393.49520916583,1905.868972508302
2008-04-01,-3.50495665192758,80813.1005885844,0.02163104977529333,97.46520444479586,9.886803333333333,305595.55333333334,11477.012627346961,1821.929493570597
2008-07-01,-5.52707912865358,89146.4428726647,0.02111291151950656,90.58005352687623,10.032300000000001,315352.8666666667,11473.072578156785,2016.622477947597
2008-10-01,-4.6723740523008,88439.83844677,0.02050315809569878,82.65098387359374,10.087126666666668,246799.81999999998,11455.738139472283,2295.41847330538
2009-01-01,-3.45660733183817,90523.6217676627,0.0198102662821984,73.8864095632726,10.072226666666667,172035.42,11503.45020093666,2330.531927618782
2009-04-01,-2.41657772176483,82894.9332648436,0.01905199069970455,78.6983144851078,10.059413333333334,179170.21666666667,11613.074660784368,2284.487782861516
2009-07-01,-0.78538882438561,88427.1788757345,0.01820439627270921,83.63640193076867,10.03855,218984.68666666665,11787.216507391828,2342.175256629459
2009-10-01,-0.154826145469693,88282.9842511897,0.01724163587884077,89.88179164191604,9.929933333333333,274874.93666666665,11987.890514491908,2334.313789181791
2010-01-01,0.808704556770391,92978.92042587,0.01614786413493663,98.42876350716159,9.868166666666667,303667.06666666665,12170.784567408338,2440.46117907185
2010-04-01,-2.85694244180015,87418.2070661184,0.01495109368157471,100.06110054950352,9.831167502771722,293088.27333333326,12332.48763311681,2480.25632280457
2010-07-01,-1.73383819397861,96887.2615140414,0.01361354510957736,102.488682501151,9.765801959070219,302117.63333333336,12478.676730966541,2565.449092845817
2010-10-01,-3.24757502358195,96918.8232071649,0.01224085140053296,106.026114988762,9.758421758820166,324188.1066666667,12627.516739887657,2625.290873110514
2011-01-01,-1.82279156681859,101155.707814191,0.01096417133815186,110.33936811770633,9.7540389305433,420424.58666666667,12797.290702964534,2600.99089029478
2011-04-01,-3.4200875010754,94996.2820663791,0.009808179847668314,113.54490155846268,9.73575994436718,416376.36333333334,12983.635180709109,2715.772383306032
2011-07-01,-3.4783545620717,102176.041850792,0.008732794968441234,112.89377778017968,9.708679215053737,354537.51,13192.423968162944,2717.418885909382
2011-10-01,-0.298536825914682,102605.532138336,0.007782644540550551,112.71217063185667,9.665606346648028,343635.6066666667,13417.393995682567,2809.404457672129
2012-01-01,-0.960014100636122,107274.127070036,0.007014362756101455,108.31195268695033,9.59518802201656,324884.62333333335,13648.96432221808,2984.468443196853
2012-04-01,-2.00859919828851,100668.839988653,0.006433357221747168,110.26533694331435,9.49939515295869,362721.8233333333,13884.5087801934,3284.698952941413
2012-07-01,-3.8871831656963,107960.878591478,0.00603029931431244,106.77495458299967,9.467805150086193,356525.16,14126.508967335845,3157.998564947645
2012-10-01,-4.56557902442815,109624.762971835,0.005787114152478621,107.71625747270832,9.42033893488644,356026.91333333333,14348.15530884483,3199.386001181817
2013-01-01,-2.13536334111408,113018.504355215,0.005691898584623267,110.46269872170866,9.39615442673304,382827.51333333337,14515.944999226656,3318.370284882131
2013-04-01,-6.1568079837319,105427.636256197,0.005741930444916775,106.86992879682934,9.35277860571529,398143.5966666667,14627.970449713126,3442.323082769774
2013-07-01,-5.76724773066399,114690.341451033,0.005936491169960605,99.71792173692059,9.32028096522498,350997.4466666666,14688.834452619314,3813.2950028034
2013-10-01,-5.95320752613438,115431.136654182,0.006281204892586964,99.67739254816651,9.301010296081074,331363.75999999995,14736.367624703833,3767.879830429861
2014-01-01,-2.76838089229331,120899.603572545,0.006775645993421842,98.34005800987053,9.27409053475879,329333.5633333333,14811.810402223811,3870.250028243446
2014-04-01,-5.66090495571521,110643.304155432,0.007404218944552112,96.91626092421437,9.233075042359117,328340.73666666663,14912.62974193315,3977.384113006525
2014-07-01,-6.12240953702364,116939.263668739,0.008185461501517471,95.5433862919656,9.146260588583743,341316.58666666667,15041.736011445999,3820.971825102871
2014-10-01,-3.61989697900556,117592.103193753,0.00909780463831911,97.2418462165896,9.04219048326096,357809.45333333337,15176.549459562637,3982.401430585569
2015-01-01,-2.66072578695258,122201.777779981,0.01010532120979857,95.80487057204931,8.976251513651363,356176.94333333336,15290.759616738102,4169.139704782883
2015-04-01,-6.88136943209214,112788.297276152,0.0111830206719114,92.35749884134971,8.95387838804109,349312.51333333337,15382.544389839519,4007.577513888444
2015-07-01,-5.14911324368531,120660.083839305,0.01236529158298143,91.50303444252633,8.948523996397968,360765.07,15455.295647213108,4039.454225574084
2015-10-01,-5.30323536718443,121314.563224725,0.01354056904520946,87.75072322450224,8.945391473222228,314740.68333333335,15509.114790460248,4040.803267880397
2016-01-01,-2.70495483580371,127913.433879019,0.01457411230259664,85.54583127822053,8.93032910864725,312074.3566666667,15543.907504347766,4220.757416981716
2016-04-01,-5.05641617538604,117962.564936229,0.01545695871989639,88.0433979905182,8.90150216041363,323226.00333333336,15559.604903819149,3929.585951627693
2016-07-01,-3.8068048544122,125338.813850633,0.01620110455406597,89.1776389309598,8.873564501241352,363840.32,15556.687449960995,4173.56700573076
2016-10-01,-2.38212656081721,127090.948302003,0.01681820413057469,90.63361495405663,8.832921633694164,388728.66,15557.379836260654,4117.611263548068
2017-01-01,0.423346567756096,131832.412756653,0.01730533549494861,94.00348445121104,8.765090625270096,406631.5433333333,15585.170015407664,4017.940467048616
2017-04-01,-2.54258387936697,120628.115684221,0.01765611689236771,93.70761157002914,8.656437007035903,442333.88666666666,15638.579269130341,3899.813824882033
2017-07-01,-0.726032861206069,128584.248906179,0.01788433703865738,93.34360726296723,8.503422924390497,443133.2666666666,15718.95085240436,3940.2544279265
2017-10-01,-0.908394914569858,130568.803395933,0.01799228944072129,100.1083493777121,8.342817397985378,479558.4033333333,15806.348838671769,3946.846338116522
2018-01-01,-1.12515178949213,134873.868150483,0.01798367711211246,102.70975109691334,8.22521079572613,509670.34,15877.84188802339,3911.032780834664
2018-04-01,-2.6082786145719,124393.395952341,0.0178624624815437,100.42490516782976,8.14962421599965,549676.34,15932.385152927076,3927.697598961662
2018-07-01,-1.41966512010977,135728.900704797,0.01762648488677095,96.98366807132408,8.112603741506303,547926.2600000001,15972.053335341665,4184.660414531112
2018-10-01,-2.42320341816732,133824.189614438,0.01726317188885162,91.2209866702417,8.06270762288676,523376.2933333333,15996.333249009733,4244.130193201221
2019-01-01,-0.438234726503926,141136.39285604,0.01676508367155716,93.92851296820636,7.970727645529717,488531.25,16004.702508894336,4462.044107799162
